key;name;last analysis;ncloc;new_violations;new_bugs;complexity;coverage;sqale_index
org.sonarqube:abap-simple-sq-scanner;ABAP :: Simple Project :: SonarQube Scanner;2017-11-30T12:26:05+0100;218;;;21;;624
Gov10;AP-RB-Gb-SonarTestNullIndicator;2017-09-06T11:19:55+0200;157;;;5;;410
org.sonarqube:cpp-simple-sq-scanner;C++ :: Simple Project :: SonarQube Scanner;2017-09-22T16:53:18+0200;90;;;22;;169
ca-cob-cpp;CA C++ coverage with Cobertura;2017-09-07T09:23:09+0200;99;;;1;;15
caja;caja;2018-01-18T13:09:50+0100;9809;;;2901;0.0;12420
presales:caja;Caja Rural;2018-01-16T14:41:34+0100;720;;;67;;212
cajar;cajar;2018-01-18T13:12:13+0100;9809;;;2901;0.0;12420
com.accarda.cobol:COBDEVQ_2_CMS_BFL;COBDEVQ_2_CMS_BFL;2018-01-02T10:51:48+0100;0;;;0;;0
org.sonarqube:cobol-simple-sq-scanner;Cobol :: Simple Project :: SonarQube Scanner;2018-02-07T19:53:37+0100;1682;;;279;;729
complex;Complex world;2017-06-15T22:39:27+0200;14;;;4;;0
copyoutside;Copybooks outside base dir;2017-07-05T09:10:19+0200;488;;;93;;223
CSL_TF16Cov;CSUTF16Cov;2016-11-17T11:40:55+0100;76;;;13;63.3;50
com.ubs.BK5:SUPPORT-4635;CT-4635;2016-12-23T13:28:49+0100;82;;;2;;23
demo-sonarlint-2;Demo SonarLint 2;2017-02-22T15:37:32+0100;33;;;7;;5
demo-sonarlint-cobol;Demo SonarLint Cobol;2018-01-17T10:58:55+0100;706;;;93;;4900
sonarqube-scanner-gradle;Example of SonarQube Scanner for Gradle Usage;2018-02-15T09:22:35+0100;31;;;10;10.5;70
test-gradle;Example of SonarQube Scanner for Gradle Usage;2018-01-04T09:06:59+0100;8;;;2;50.0;65
org.sonarqube:sonarqube-scanner;Example of SonarQube Scanner Usage;2018-01-02T11:00:40+0100;10447;;;4778;2.1;44443
training:file_renaming;File Renaming;2017-11-10T15:31:49+0100;7;;;1;0.0;40
filemove;filemove;2017-07-12T10:24:22+0200;35;;;9;;110
dts.bms:fmann.sandbox.dogfleas;Frankie_sandbox_dogfleas;2017-02-10T09:59:54+0100;11;;;1;;0
training:Gov1;Gov1;2017-11-10T15:29:54+0100;32;;;9;0.0;160
training:Gov2:FooBranch;Gov2 FooBranch;2017-11-08T21:12:44+0100;46;;;6;;662
training:Gov2:mynewbranch;Gov2 mynewbranch;2017-12-06T14:00:34+0100;9803;;;2900;0.0;12286
training:Gov2:NewFeature;Gov2 NewFeature;2017-09-12T14:28:35+0200;36;;;5;;502
training:Gov3;Gov3;2018-02-15T09:38:49+0100;33;;;5;0.0;270
training:Gov4;Gov4;2017-11-10T15:30:12+0100;14;;;4;0.0;0
Gov4:foo;Gov4 foo;2017-07-13T12:23:11+0200;14;;;4;;0
training:Gov4:foo;Gov4 foo;2017-08-21T13:22:36+0200;14;;;4;;0
training:Gov5;Gov5;2017-11-10T15:30:26+0100;36;;;5;0.0;546
training:Gov6;Gov6;2018-02-09T17:56:39+0100;52;;;9;0.0;265
training:Gov7;Gov7;2017-11-27T10:26:54+0100;43;;;9;0.0;106
Gov8;Gov8;2016-09-27T15:27:42+0200;31;;;16;;65
training:Gov8;Gov8 Training;2017-11-10T15:30:55+0100;14;;;4;0.0;0
hello;Hello World;2017-06-15T22:38:39+0200;12;;;1;;86
issuelifecycle;Issue Life Cycle;2017-07-13T19:16:51+0200;35;;;9;;60
org.sonarqube:example-java-maven;Java :: Simple Project :: SonarQube Scanner for Maven;2017-01-06T12:10:12+0100;14;;;3;;5
org.sonarqube:example-ut-maven-jacoco;Java :: UT Coverage with JaCoCo :: Maven;2017-03-20T12:04:27+0100;84;;;5;50.0;10
json-sample-project;Json Sample porject;2016-12-07T20:04:50+0100;;;;;;0
K3627;K3627;2016-09-14T16:27:12+0200;93;;;3;;0
K3801;K3801;2016-09-28T16:11:09+0200;70;;;;;6
ldap_after_build;LDAP plugin with sonar-scanner after build;2018-02-07T16:01:47+0100;1907;;;241;0.0;1002
K8489;MAIF 8489;2018-01-22T11:35:51+0100;9378;;;105;;740
My_App;My App;2018-03-06T09:30:37+0100;1152;;;57;;465
Gov2;My government project;2018-02-08T23:22:39+0100;64;;;7;0.0;1188
org.sonarqube:java-gradle-simple;My sample project;2018-01-10T11:12:46+0100;9;;;2;60.0;60
myCobolProject;myCobolProject;2016-09-23T11:08:50+0200;713;;;99;;900
CSXML;MyCSXMLProject;2016-11-17T12:12:55+0100;60;;;4;;105
MyProject;MyProject;2017-03-23T15:43:17+0100;50;;;6;;70
new_td;new_td;2017-07-07T14:44:48+0200;35;;;9;;110
nullIndic;nullIndic;2017-09-06T11:15:19+0200;157;;;5;;410
org.sonarqube:objc-sq-scanner;Objective-C :: Simple :: SonarQube Scanner;2017-02-03T20:17:32+0100;26;;;4;;5
objCproject;Objective-C project;2017-02-15T07:04:06+0100;26;;;4;;5
training:Gov2;Optum;2018-01-22T15:13:48+0100;57;;;7;0.0;900
training:optum:dev;Optum dev;2018-01-17T17:19:02+0100;9809;;;2901;0.0;12420
K3744-2;P3744;2016-12-23T12:20:18+0100;8400;;;543;;29940
K3831;P3831;2017-03-22T18:07:46+0100;12;;;0;;90
K3928;P3928;2016-11-03T11:16:56+0100;49;;;24;;80
K3947;P3947;2016-11-03T16:37:06+0100;76;;;24;;65
K3981;P3981;2016-09-28T00:00:00+0200;35;;;17;;65
K4217;P4217;2016-11-11T11:47:28+0100;38;;;16;;81
K4217CS;P4217CS;2016-11-11T12:35:11+0100;29;;;1;;15
K4497;P4497;2016-12-23T16:26:21+0100;172;;;35;;728
K4518;P4518;2016-12-12T10:22:40+0100;106;;;14;;252
K4602;P4602;2016-12-21T16:13:30+0100;1052;;;1;;1122
K4618;P4618;2017-01-09T08:52:22+0100;419;;;51;;166
K4635;P4635;2016-12-22T13:49:48+0100;68;;;2;;30
K4648;P4648;2017-01-09T11:57:05+0100;725;;;3;;299
K4661;P4661;2016-12-22T14:22:27+0100;81;;;14;;85
K4825;P4825;2017-01-24T14:38:23+0100;8;;;3;;0
K4870;P4870;2017-01-26T11:36:16+0100;31;;;3;;35
K4914;P4914;2017-02-22T14:31:30+0100;715;;;98;;358
K4914-BIS;P4914-BIS;2017-02-22T14:53:04+0100;715;;;98;;238
P4925;P4925;2017-01-24T14:35:55+0100;45;;;5;;4
K5096;P5096;2017-02-08T12:12:59+0100;45;;;10;;110
K5097;P5097;2017-02-09T10:08:02+0100;91;;;22;;132
K53565;P5356;2017-03-27T21:53:56+0200;7201;;;1722;;6650
K5375;P5375;2017-06-07T13:41:41+0200;57;;;9;;348
K5401;P5401;2017-03-10T11:17:35+0100;61;;;1;;97
K5412;P5412;2017-03-10T11:17:25+0100;110;;;22;;183
K5428;P5428;2017-03-17T19:02:25+0100;37;;;2;;65
K:5536;P5536;2017-03-22T16:30:28+0100;37;;;2;;20
K5561;P5561;2017-03-23T15:45:47+0100;50;;;6;;25
K6669;P6669;2017-06-26T11:21:25+0200;336;;;29;;79
K6735;P6735;2017-07-07T14:07:20+0200;250;;;43;;395
K7373;P7373;2017-09-21T16:57:46+0200;1089;;;179;;472
K7373:foo;P7373 foo;2017-09-21T16:51:37+0200;1089;;;179;;202
K7377;P7377;2017-09-18T14:41:31+0200;47;;;7;;0
K7378;P7378;2017-09-19T11:02:33+0200;33;;;4;;20
K7379;P7379;2017-09-19T10:57:50+0200;65;;;2;;0
K7398;P7398;2017-09-19T15:38:20+0200;35;;;9;;160
